fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
19179,Wapello County,Iowa,IA,17403,17912,39.3,35315,50.72065694464109,41.03058136685314,-92.40946505100024,77.66965768,54.24421172,5634.0,41312.0,431.83,0.1595356080985417,81.7798670773221
19191,Winneshiek County,Iowa,IA,10156,10245,41.3,20401,50.21812656242341,43.2906200220828,-91.84367475188198,82.62077706,39.53572926,1709.0,62115.0,689.87,0.08377040341159747,29.572238247785815
19193,Woodbury County,Iowa,IA,50496,51902,35.7,102398,50.686536846422776,42.389703624789284,-96.04477464459801,78.3538478,52.68530175,13318.0,51877.0,872.83,0.13006113400652355,117.3172324507636
20007,Barber County,Kansas,KS,2356,2377,43.8,4733,50.22184660891613,37.228859628093545,-98.68482281643057,77.6314656,53.07050437,559.0,47540.0,1134.07,0.11810690893724911,4.173463719170774
20029,Cloud County,Kansas,KS,4523,4537,41.0,9060,50.077262693156726,39.48029327799824,-97.6492578730064,78.51648063,50.17627938,1142.0,42431.0,715.34,0.1260485651214128,12.665306008331703
20031,Coffey County,Kansas,KS,4195,4101,44.0,8296,49.433461909353895,38.236863505594116,-95.73410480030655,77.87543263,53.14123537,861.0,57224.0,626.95,0.10378495660559306,13.232315176648855
20035,Cowley County,Kansas,KS,17915,17676,38.8,35591,49.664240959793204,37.23770918886446,-96.83752845410318,76.46871183,56.40697721,4706.0,45907.0,1125.75,0.13222443876260853,31.61536753275594
20043,Doniphan County,Kansas,KS,3960,3776,41.3,7736,48.810754912099284,39.78806040002374,-95.14679868969306,79.00723678,50.26427405,989.0,47320.0,393.41,0.12784384694932782,19.663963803665386
20053,Ellsworth County,Kansas,KS,3654,2639,42.3,6293,41.935483870967744,38.69663853398439,-98.20476048074009,78.87661440000001,49.90765593,545.0,50403.0,715.85,0.08660416335610996,8.79094782426486
20055,Finney County,Kansas,KS,18940,18017,30.5,36957,48.751251454392936,38.044282109415576,-100.73699850189043,79.19308165,48.09783642,5155.0,51812.0,1301.97,0.1394864301756095,28.385446669278092
20057,Ford County,Kansas,KS,17896,16588,31.9,34484,48.1034682751421,37.69171750246171,-99.88795653621145,78.50327836,51.14753531,4453.0,47175.0,1098.27,0.12913235123535552,31.39847214255147
20061,Geary County,Kansas,KS,18540,16355,26.1,34895,46.869178965467825,39.00241626170008,-96.7525303867292,76.81633517,53.04728238,4031.0,46326.0,384.62,0.11551798251898553,90.72591128906453
20063,Gove County,Kansas,KS,1298,1321,48.1,2619,50.439098892707136,38.91609173974979,-100.48296674923587,79.63063282,46.80711734,264.0,51445.0,1071.67,0.10080183276059565,2.443849319286721
20079,Harvey County,Kansas,KS,17200,17355,39.5,34555,50.224280133121106,38.04321375981529,-97.4272328635256,79.17249092,49.21657412,3528.0,56848.0,539.75,0.10209810447113297,64.0203798054655
20083,Hodgeman County,Kansas,KS,941,901,49.1,1842,48.914223669924,38.08749316612595,-99.8979261293054,80.04679419,44.30893953,183.0,51244.0,859.99,0.0993485342019544,2.141885370760125
20089,Jewell County,Kansas,KS,1482,1434,52.6,2916,49.17695473251029,39.78473318645306,-98.21833954684782,79.98993721,46.00749572,363.0,40940.0,909.78,0.12448559670781893,3.205170480775572
20093,Kearny County,Kansas,KS,1934,1998,34.4,3932,50.81383519837232,38.00023249997622,-101.3198829556369,77.66487109,51.6459757,444.0,59254.0,870.54,0.11291963377416073,4.516736738116571
20095,Kingman County,Kansas,KS,3749,3721,45.5,7470,49.81258366800535,37.558898379636304,-98.13633586716959,78.62980751,50.39920301,778.0,59721.0,863.36,0.10414993306559571,8.652242401779095
20099,Labette County,Kansas,KS,10070,10297,40.6,20367,50.55727402170177,37.19130785318974,-95.29757070000281,76.26836817,55.49631377,4161.0,41103.0,645.3,0.20430107526881722,31.562064156206418
20103,Leavenworth County,Kansas,KS,42933,37109,37.6,80042,46.36190999725145,39.19930866713226,-95.03798734274791,78.91877151,52.27822514,6464.0,67558.0,462.83,0.08075760225881412,172.94038847957134
20133,Neosho County,Kansas,KS,7923,8202,40.1,16125,50.865116279069774,37.558495432740564,-95.30679410545143,77.3216061,53.50961303,2552.0,42441.0,571.47,0.15826356589147286,28.216704288939052
20135,Ness County,Kansas,KS,1493,1462,48.7,2955,49.47546531302878,38.47942841040646,-99.9161527727777,79.38418786,46.97248305,325.0,46439.0,1074.75,0.10998307952622674,2.749476622470342
20137,Norton County,Kansas,KS,3036,2450,43.2,5486,44.65913233685745,39.78438554894026,-99.903485411262,79.45793569,47.31943427,640.0,45845.0,878.13,0.11666059059423989,6.247366563037364
20141,Osborne County,Kansas,KS,1807,1796,46.7,3603,49.8473494310297,39.35033034228786,-98.76794728456049,79.24204598,47.08809765,501.0,41967.0,892.5,0.13905079100749376,4.036974789915966
20151,Pratt County,Kansas,KS,4785,4797,38.5,9582,50.06261740763932,37.647731780450094,-98.73962276229315,78.39144874,49.68512657,1048.0,51419.0,735.05,0.10937173867668545,13.035847901503299
20153,Rawlins County,Kansas,KS,1286,1223,49.2,2509,48.74451972897569,39.78518765694615,-101.07585048736065,80.14288575,44.41402787,310.0,47377.0,1069.42,0.12355520127540853,2.3461315479418747
20155,Reno County,Kansas,KS,31775,31326,40.4,63101,49.64422116923662,37.95295884789992,-98.08598674367596,78.40361582,50.52569303,8844.0,46208.0,1255.35,0.1401562574285669,50.265662962520416
